Words,Count
23700,1
6100,2
5600,1
5200,1
4600,1
4400,1
3900,1
3800,1
3700,2
3500,3
3400,1
3300,1
3200,2
3100,1
3000,2
2900,3
2800,5
2700,2
2600,3
2500,3
2400,6
2300,7
2200,8
2100,16
2000,13
1900,9
1800,11
1700,13
1600,13
1500,25
1400,26
1300,24
1200,32
1100,42
1000,38
900,44
800,37
700,38
600,48
500,61
400,83
300,86
200,56
100,22
0,5
