Reading Time,Count
90,1
25,1
24,1
23,1
21,1
19,1
18,1
16,2
15,2
14,5
13,4
12,7
11,10
10,12
9,32
8,28
7,47
6,70
5,106
4,121
3,153
2,172
1,22
