Claps,Count
3600,1
2200,1
2100,2
2000,2
1900,2
1800,3
1600,3
1500,3
1400,1
1300,6
1200,6
1100,4
1000,14
900,8
800,15
700,17
600,22
500,51
400,75
300,122
200,176
100,176
0,90
